Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"Aircraft pilots and flight engineers","15,409","$3,991,000 ","$530,000 ","12,520","$3,687,000 ","$405,000 ","2,474",(B),(B),193,(B),(B),222,(B),(B)
"Budget analysts","15,382","$3,122,000 ","$336,000 ","11,060","$2,823,000 ","$343,000 ","4,086",(B),(B),188,(B),(B),48,(B),(B)
"Appraisers and assessors of real estate","14,801","$2,398,000 ","$279,000 ","12,750","$2,297,000 ","$267,000 ","1,767",(B),(B),173,(B),(B),111,(B),(B)
"Nursing, psychiatric, and home health aides","14,159","$1,252,000 ","$142,000 ","12,370","$1,242,000 ","$175,000 ","1,082",(B),(B),249,(B),(B),458,(B),(B)
"Security guards and gaming surveillance officers","13,747","$1,595,000 ","$221,000 ","12,556","$1,571,000 ","$225,000 ","1,095",(B),(B),96,(B),(B),-,(B),(B)
"Farmers, ranchers, and other agricultural managers","13,727","$1,890,000 ","$239,000 ","11,973","$1,837,000 ","$222,000 ","1,414",(B),(B),300,(B),(B),40,(B),(B)
"Janitors and building cleaners","13,723","$1,153,000 ","$142,000 ","11,958","$1,096,000 ","$160,000 ","1,119",(B),(B),646,(B),(B),-,(B),(B)
"Training and development specialists","13,693","$2,823,000 ","$313,000 ","10,507","$2,764,000 ","$285,000 ","2,936",(B),(B),250,(B),(B),-,(B),(B)
"Financial clerks, all other","13,611","$3,082,000 ","$394,000 ","10,678",(B),(B),"2,769",(B),(B),103,(B),(B),61,(B),(B)
"Compensation, benefits, and job analysis specialists","13,369","$2,548,000 ","$213,000 ","11,022","$2,452,000 ","$242,000 ","2,242",(B),(B),46,(B),(B),59,(B),(B)
Logisticians,"12,897","$2,783,000 ","$311,000 ","10,368",(B),(B),"2,354",(B),(B),175,(B),(B),-,(B),(B)
"Tax preparers","12,515",(B),(B),"7,411",(B),(B),"4,329",(B),(B),775,(B),(B),-,(B),(B)
Tellers,"12,504",(B),(B),"11,555",(B),(B),851,(B),(B),98,(B),(B),-,(B),(B)
"Waiters and waitresses","12,412",(B),(B),"11,573",(B),(B),603,(B),(B),236,(B),(B),-,(B),(B)
"Tax examiners and collectors, and revenue agents","12,405","$2,668,000 ","$307,000 ","9,508",(B),(B),"2,613",(B),(B),234,(B),(B),50,(B),(B)
"Database administrators","12,373","$2,987,000 ","$246,000 ","10,261","$2,888,000 ","$280,000 ","2,084",(B),(B),28,(B),(B),-,(B),(B)
"Bill and account collectors","12,174",(B),(B),"10,710",(B),(B),"1,278",(B),(B),138,(B),(B),48,(B),(B)
"Administrative services managers","12,125","$2,980,000 ","$191,000 ","9,486",(B),(B),"2,370",(B),(B),133,(B),(B),136,(B),(B)
"Industrial engineers, including health and safety","12,008","$2,763,000 ","$205,000 ","8,559",(B),(B),"3,330",(B),(B),119,(B),(B),-,(B),(B)
