UNITID,CIPCODE
100858,13.0501
100858,13.1099
100858,13.1099
100858,13.1099
100858,13.1099
100858,13.1101
100858,13.1101
100858,13.1101
100858,13.1101
100858,13.1201
100858,13.1202
100858,13.1205
100858,13.1205
100858,13.1205
100858,13.1206
100858,13.1206
100858,13.1206
100858,13.121
100858,13.1305
100858,13.1306
100858,13.1307
100858,13.1311
100858,13.1312
100858,13.1314
100858,13.1314
100858,13.1314
100858,13.1314
100858,13.1316
100858,13.1317
100858,13.1319
100858,13.1319
100858,13.1319
100858,13.1319
100858,13.1319
100858,14.0201
100858,14.0201
100858,14.0201
100858,14.0401
100858,14.0401
100858,14.0401
100858,14.0701
100858,14.0701
100858,14.0701
100858,14.0801
100858,14.0801
100858,14.0801
100858,14.0901
100858,14.0901
100858,14.0901
100858,14.1001
100858,14.1001
100858,14.1001
100858,14.1801
100858,14.1801
100858,14.1801
100858,14.1901
100858,14.1901
100858,14.1901
100858,14.3201
100858,14.3201
100858,14.3201
100858,14.3501
100858,14.3501
100858,14.3501
100858,14.3501
100858,14.4501
100858,14.4501
100858,14.4501
100858,14.9999
100858,16.0501
100858,16.0501
100858,16.0901
100858,16.0901
100858,16.0905
100858,16.0905
100858,16.0905
100858,19.0799
100858,19.0799
100858,19.0799
100858,19.0905
100858,19.0905
100858,23.0101
100858,23.0101
100858,23.0101
100858,23.0101
100858,23.1303
100858,23.1303
100858,26.0101
100858,26.0101
100858,26.0101
100858,26.0101
100858,26.0102
100858,26.0503
100858,26.0701
100858,26.1302
100858,26.1302
100858,27.0101
100858,27.0101
100858,27.0101
100858,27.0101
100858,27.0301
100858,27.0301
100858,27.0501
100858,30
100858,30.1901
100858,30.1901
100858,30.1901
100858,38.0101
100858,38.0101
100858,40.0501
100858,40.0501
100858,40.0501
100858,40.0601
100858,40.0601
100858,40.0801
100858,40.0801
100858,40.0801
100858,40.0801
100858,42.0101
100858,42.0101
100858,42.0101
100858,42.0101
100858,42.2801
100858,42.2801
100858,42.2803
100858,44.0401
100858,44.0401
100858,44.0401
100858,44.0401
100858,44.0701
100858,45.0201
100858,45.0401
100858,45.0601
100858,45.0601
100858,45.0601
100858,45.0701
100858,45.0701
100858,45.1001
100858,45.1101
100858,45.1101
100858,45.1101
100858,50.0401
100858,50.0404
100858,50.0404
100858,50.0408
100858,50.0499
100858,50.0499
100858,50.0501
100858,50.0702
100858,50.0901
100858,50.0901
100858,51.0204
100858,51.0204
100858,51.0204
100858,51.0701
100858,51.1005
100858,51.1099
100858,51.2001
100858,51.2003
100858,51.2003
100858,51.2401
100858,51.2501
100858,51.2501
100858,51.3801
100858,51.3801
100858,51.3801
100858,52.0201
100858,52.0201
100858,52.0201
100858,52.0201
100858,52.0203
100858,52.0203
100858,52.0301
100858,52.0301
100858,52.0301
100858,52.0601
100858,52.0601
100858,52.0601
100858,52.0801
100858,52.0801
100858,52.0901
100858,52.1001
100858,52.1001
100858,52.1101
100858,52.1201
100858,52.1201
100858,52.1301
100858,52.1401
100858,52.1401
100858,54.0101
100858,54.0101
100858,54.0101
100858,54.0101
100858,54.0101
100937,3.0103
100937,5.0103
100937,9.0199
100937,9.0199
100937,13.1206
100937,13.1312
100937,13.9999
100937,14.0102
100937,16.0905
100937,16.0905
100937,23.0101
100937,26.0101
100937,27.0101
100937,27.0101
100937,30.1001
100937,30.2001
100937,30.9999
100937,38.0101
100937,38.0201
100937,38.0201
100937,39.0501
100937,40.0501
100937,40.0801
100937,42.0101
100937,45.0601
100937,45.1001
100937,45.1101
100937,45.9999
100937,50.0501
100937,50.0509
100937,50.0605
100937,50.0701
100937,50.0702
100937,50.0703
100937,50.0708
100937,50.0709
100937,50.0901
100937,50.0903
100937,50.0904
100937,50.0907
100937,50.0908
100937,50.0999
100937,52.0201
100937,52.0201
100937,52.0301
100937,54.0101
101028,11.0101
101028,11.0101
101028,11.0101
101028,15.0613
101028,15.0613
101028,15.0613
101028,19.0708
101028,19.0708
101028,24.0101
